degradation,revision,bug,packages,files,issues,insertions,deletions,churns,lines,hunks,hour,day
false,5772296f9a59fc6a52895ae2101321e35f0f6d0c,true,1,1,1,1,1,2,0,1,13,5
false,58422ac7732429d48c783cf8f5899f8764f7002b,true,1,1,1,2,1,3,1,1,9,5
false,58daafa556ccf334bd7d03c83eab9973d83fb497,false,1,1,1,27,29,56,-2,2,1,5
false,58fa34bc8ff9b531b61e9258ac33480296cc66f6,true,2,3,1,92,4,96,88,13,1,4
false,59b3e318762733adea00cfe3b31c5dd25e4d2147,false,1,1,1,21,21,42,0,1,10,5
false,59ddcddde2286c5825715c04f5a803466335925b,false,1,1,1,61,20,81,41,12,12,2
false,5a3fd0d2a3e501e3f7363293eb938ce04d7c25fc,false,2,5,1,54,48,102,6,7,17,2
false,5aba89bc8c2c8eb8ecef93ea641061e484d38a41,false,5,8,1,27,27,54,0,21,14,6
false,5ac5a36a90710a4f9a7ed62273d55dc158d5f1ce,false,11,15,1,144,408,552,-264,27,17,5
false,5b730c0b41d6261be5bdd7810cdc59ebebf1d1ef,true,1,2,1,65,3,68,62,5,12,5
false,5bdc0f44bac4dcba1e9cdcf35de2ac319b342bc4,false,1,4,1,42,14,56,28,9,20,5
false,5cdc1c8d38aaf0ecd426e26bb13e1d126c935438,true,2,2,1,75,1,76,74,3,19,1
false,5cdd8624c28814dfb7920bffcadda28eeccb0006,false,3,5,1,44,106,150,-62,13,11,3
false,5efb8091f05cc9774d340e30c912ae581bb6f5c4,true,2,4,1,195,11,206,184,5,21,2
false,5f0e63c8a91ea74c57ed6ba65a9f8a60d30eb130,true,29,54,1,310,231,541,79,168,11,2
false,61122bab26db4ae3ad651f8d9794f4e0e865e6e2,true,1,2,1,81,53,134,28,30,21,6
false,611dffb273f0cc4aba32af335a0dd72b9733ea7d,true,2,2,1,34,6,40,28,4,22,4
false,612f6fb41322fa97547d02cfb4fdd4f20ba6892c,false,1,2,1,6,8,14,-2,5,15,6
false,6154fd6aae702ec5c23d39f6ac3ae9593da4d3b9,false,1,3,1,61,7,68,54,8,13,2
false,61b01295d0d52929178d058d48456cae4acbc3e7,false,3,3,1,56,11,67,45,16,11,2
false,623da39243372d2e5a93d7e2ead8c47921929d59,false,1,3,2,264,4,268,260,9,21,7
false,629d591630a0e70e9e7d17a3ad87c223232f7762,false,8,8,1,73,85,158,-12,21,15,5
false,62a1a94f854eb2e2ecba06092b77ee2668529ff3,false,1,1,1,3,1,4,2,2,8,3
false,63d529ae752c0f9c1ad8006bf6740cd5c8229bfc,false,1,1,1,1,2,3,-1,1,10,5
false,655c82685532dbc1536b478c21a5ece7d57ae9f9,false,1,2,1,104,5,109,99,4,11,5
false,6568ce556ae73ccd739c295b113025e0a794fef9,false,1,1,1,4,4,8,0,4,18,2
false,6731e45a32160884305164fdf33959418773b23a,false,1,1,1,15,16,31,-1,1,13,6
false,6759a5b45a9798e7d43d6292ce9a3534f111c05b,true,1,2,1,58,157,215,-99,15,22,2
false,686bc9a8abbdb15034cf8055ec7653e27929f4ce,false,2,2,1,26,3,29,23,2,15,6
false,69042ca514124d60440980cf96d2d93fc6259be5,true,2,5,1,7,9,16,-2,8,20,2
false,690cca0d50d611bbe1a08015e39fb8795cc6e7c9,false,9,42,1,265,317,582,-52,56,21,5
false,69530253d3d5170ae5adfb3b7050786ed3b3ff90,false,2,2,1,5,4,9,1,5,12,5
false,69532d82c18ed612feba5002c55906a0ad45f373,false,1,1,1,1,2,3,-1,1,13,2
false,6971b62d1a788e251e3aaabcf461fdd3e4a0eb4a,false,2,3,1,68,12,80,56,9,14,2
false,697b87eb75f663fdc9ebe06a389a026254d196d0,false,2,5,1,215,0,215,215,7,13,6
false,69eed82db533f7de8b70c4a2ed808716941c3303,false,1,1,1,1,1,2,0,1,12,4
false,6b8439f93e1809e5fc8b5fb283a4c0ff8c0dac47,true,1,1,1,8,3,11,5,1,18,3
false,6c58037e0ca57930d9646f254b0adc3701dceea1,true,2,8,2,270,1,271,269,8,11,6
false,6ce317cf9414c550e0e66fbae5e35936ee20763d,false,2,5,1,82,8,90,74,10,12,3
false,6cefb9f89975ace7fc90ec663c4d92ac9af14dfd,true,4,5,1,14,18,32,-4,8,12,2
false,6dfd3d9d2cb7e378275db0458c9d241de8e7e7d8,true,1,2,1,2,6,8,-4,3,22,2
false,6e794ad060af7512a6f0e9a0d445037047aad0e1,true,1,2,1,168,15,183,153,7,11,3
false,6ea806a2f393b830015b09b633da28e034a4b3ad,false,1,1,1,1,1,2,0,1,13,2
false,6f0aac5246c7ec6bf9a814e1d771d59ce5d5ddbe,true,1,1,1,11,2,13,9,3,14,6
false,6f504037f4534ac874dc8507df508ee676b20ff5,false,1,1,1,5,4,9,1,4,17,2
false,6f9821b81e2afeedebbe66496b85009c0c62f74c,true,2,8,1,236,283,519,-47,36,13,4
false,7006771da8b535ffed35154e258fb6fe9dc20485,false,2,2,1,21,10,31,11,3,11,4
false,702bf45a4a5c90918720a8410145a8c86f5041fe,false,2,4,1,114,9,123,105,8,10,3
false,7054ccc08e29553da06b0d73dba5ff18e754a39b,false,6,7,1,10,9,19,1,8,17,3
false,71674df5c8905c425152038281379027de89cf9b,true,1,2,2,50,5,55,45,4,14,1
false,7193daa06a0d9125777bb8c1eab03bc10a6fc273,false,1,1,1,1,1,2,0,1,15,3
false,723d7d3c9ebe8336897d75d3754685384f017b3a,false,4,5,1,85,25,110,60,13,23,5
false,725f0471bbc322ca6703ee910867f5244226bb64,false,1,1,1,2,2,4,0,1,9,4
false,747f2929a29e53694d6a7e57f73e586a25482a1c,false,4,12,1,177,46,223,131,40,7,3
false,755539e84f927ed37f0cab3022e8f850e74ff23e,false,4,8,1,60,113,173,-53,18,11,3
false,75dceed9a5e7e19d1f12ab37d7c63cd88d0f4ba9,true,1,1,1,16,1,17,15,1,0,1
false,763127d5e9f6b4ddae4fd04c68e37b6222f8318d,true,1,1,1,1,5,6,-4,1,11,6
false,76433a76288cf3ac336676c81c400a556f6dc5a3,false,2,4,1,155,7,162,148,11,15,2
false,77cee0a07e2b30c3aaa6229c51d2214ca087e412,false,1,1,1,3,7,10,-4,3,11,3
false,788e7ed126b391359ca416c3f04ae69ea1e8c3a6,false,1,1,1,1,1,2,0,1,16,3
false,79ba33817899b5921a1864da9fc39e5f5a97395b,false,13,24,1,559,87,646,472,31,12,5
false,79d9f699aeb2db05c0939a8d8088328927387e60,false,1,1,1,2,2,4,0,2,14,4
false,7b0d8ea0c981d6cdff2a12f5b7317f7170ecec43,false,2,3,1,8,12,20,-4,6,15,5
false,7c95d9380705b3023fdc85ca877a1b609b29d19b,false,2,2,1,24,7,31,17,8,11,3
false,7e032d211feecf00b93f72fd0ee49c42abf08c61,true,270,1963,1,96969,52442,149411,44527,4846,15,5
false,7e9abf192c69422ecef8f2be18ecc0db29587fa1,false,3,3,1,3,3,6,0,3,9,6
false,7eda0dd200216bc9e595d55ea6f6eb7cbb68a30a,true,1,1,1,1,1,2,0,1,11,4
false,7ee559486f53c62947171a150508893c9a5d16d1,true,1,1,1,1,1,2,0,1,15,5
false,7f8c6727941d51aa8d3ff8a84d37ba5bf110df92,false,2,2,1,2,2,4,0,2,11,3
false,80d8f91e7716d78d82effe6f751e5bc7ab15b9fa,false,3,5,1,94,152,246,-58,39,16,3
false,80e3c6a209f79de9074894325c07ecd96f6784fd,false,1,1,1,4,9,13,-5,1,15,3
false,813c022d75df4a6f551e76fb526376fc3809bc6f,false,7,9,1,254,363,617,-109,28,12,3
false,813c0964cf8ba27aa69970e389f07b0141e44770,false,1,1,1,30,0,30,30,1,12,3
false,81a7b75ec8ef9dc94aa4ef644dcbe094d846f2b2,false,1,2,1,34,6,40,28,2,16,2
false,81f5647c1d60c0f9a643c341f99359c2cfbfb4ea,false,1,1,1,10,3,13,7,2,14,3
false,823e571d5377afc56a7d9e6b9f0a6dd35f7aa22f,false,1,3,1,31,0,31,31,6,14,4
false,825da3055e9792ae5b4b0e86f47a6b08c9e7ce0e,true,1,4,1,54,3,57,51,4,11,5
false,82dd6ee8f6b0b181f383eac685c080caf3479d44,false,5,7,1,82,146,228,-64,19,17,3
false,841e9a4ba13d449b301682d80c69ddc34652ea72,false,2,2,1,2,2,4,0,2,16,2
false,847bff720eed8a779accb2d51ac34f446d5ab7db,true,2,3,1,25,11,36,14,5,20,1
false,8489bcbebfef5a5096b24c0543d2b767c98f325e,true,1,2,1,91,6,97,85,11,1,4
false,876064cae6c2d4ebc8a35f3f96333ee438179074,false,1,5,1,178,22,200,156,6,16,5
false,87fa630f240fb3e5234477c2fcf60831610fe7d5,true,1,6,1,853,3,856,850,7,16,6
false,88191edb11f324ccbc44d7f18f006db423e43849,false,2,6,1,46,107,153,-61,17,11,3
false,88b5d5cb482bc7bb22e2ceb9503e5056b0e89572,false,17,22,1,290,149,439,141,50,11,2
false,8953bd2cb91f8b62d4f26395156986b19e161720,true,2,2,1,61,69,130,-8,8,12,4
false,8a4f6a722ad61c261f92ff2ccaae08ab10c53932,false,4,5,1,62,6,68,56,7,13,4
false,8b4d9de39eedeef10ff1ff0a383606b6b94785bb,true,4,10,1,351,328,679,23,53,11,3
false,8c21ccf8c292152d13d02fd8523ea152d0cdd787,false,1,1,1,40,36,76,4,2,17,3
false,8c96c8b7d1d392a0b8b8b8e0fd1a92bebfcce6b0,false,1,1,1,1,1,2,0,1,14,5
false,8ccb1f6de4479bef623bc97dd4ad4abeb7b802df,true,1,4,1,94,18,112,76,11,15,2
