# List of all commits from classes found during the repository mining phase (blamed or not)
103
Revision,Bug Fixing,Author,Date,Number of Packages,Number of Files,Number of Insertions,Number of Deletions,Number of Churns,Delta of Lines,Number of Hunks,Number of Issues,Issues
d1caec5e942d5a4b1dd5b52c7a187eada733c8e3,false,Martin Tzvetanov Grigorov,Sex 31-Out-2014 09:47:13 +0200,1,2,3,4,7,-1,4,1,5212
d20e568b51f9c8e4612472d143df4d49a3bd0e63,false,Martin Tzvetanov Grigorov,Ter 12-Ago-2014 11:03:24 +0200,1,1,20,12,32,8,2,1,5672
d558004bb386c1b736d9d3a8592d465893f8ed96,true,svenmeier,Qua 30-Jul-2014 22:58:03 +0200,2,2,32,6,38,26,3,1,5655
d5609b0ee3c0dece2439d733118ea4b2a81ed405,false,Martin Tzvetanov Grigorov,Seg 18-Ago-2014 08:44:45 +0200,2,3,3,9,12,-6,3,1,0
d5d80eadb33343032bc9a6a6486df5b1bf2c5165,false,Martin Tzvetanov Grigorov,Seg 18-Ago-2014 12:10:56 +0300,1,1,1,1,2,0,1,1,0
d6897c9b56a26215f9a50e5fb5779bb593a77777,true,Martin Tzvetanov Grigorov,Ter 12-Ago-2014 09:53:07 +0200,1,1,5,5,10,0,5,1,5539
d77df11f77d5816f309a1ed01b58d8b72b08cb3b,false,Martin Tzvetanov Grigorov,Qua 25-Jun-2014 09:43:57 +0300,4,5,31,31,62,0,8,1,5628
d8e292ecd90aec9bc7d7da4c52875aeef13008e4,true,Martin Tzvetanov Grigorov,Ter 14-Out-2014 10:59:53 +0300,1,1,5,3,8,2,1,1,5724
d929c3e65da8b35b805c6950b9e89675d0cc5dbd,false,Andrea Del Bene,Dom 26-Out-2014 14:30:51 +0100,2,2,18,2,20,16,2,1,0
dab8cbfff95d1db2744f91de05efec65960ad092,true,adelbene,Qua 15-Out-2014 16:42:15 +0200,1,1,9,7,16,2,5,1,5724
db5be6ab05545e1bb95f566c3aeb23e05cf93437,true,Andrea Del Bene,Ter 21-Out-2014 12:47:38 +0200,4,8,455,399,854,56,26,1,5730
dc635f936ea6050d3327659a047e30fa386da853,true,andrea del bene,Qui 17-Jul-2014 20:22:35 +0200,2,2,9,8,17,1,2,1,5643
de46acabeb46048dad780b80b4632843e9f81442,false,Martin Tzvetanov Grigorov,Qui 07-Ago-2014 15:20:30 +0200,2,2,6,10,16,-4,5,1,0
df08108853b8e96c8414ff68c3d079fe78fa7169,false,Martin Tzvetanov Grigorov,Seg 04-Ago-2014 16:46:00 +0200,1,2,8,5,13,3,5,1,5660
e0b105e5bcee89917d04c3a2164440d0ed2fc738,false,svenmeier,Qui 17-Jul-2014 09:20:59 +0200,2,13,164,271,435,-107,14,1,5349
e4262674d6dd347fb51a1454c63e5f03ed5f135e,false,Martin Tzvetanov Grigorov,Qui 02-Out-2014 12:32:21 +0200,4,12,109,40,149,69,11,1,5713
e7326555e60ec42024ed6e444bf7ea862b49376d,false,Martin Tzvetanov Grigorov,Seg 16-Jun-2014 13:59:21 +0300,1,1,1,2,3,-1,2,1,5602
e8773fb18da2d763d62a2857335b3c73d491d064,true,Martin Tzvetanov Grigorov,Seg 11-Ago-2014 11:59:55 +0200,1,2,46,26,72,20,12,1,5539
ea82a6b1ca8658f44d840ce74eb72252368d25ab,false,svenmeier,Qua 16-Jul-2014 21:26:16 +0200,1,1,17,0,17,17,1,1,5646
f1586b3cf5fcbdb59caa68806cd01bb51d0be6b2,false,svenmeier,Qua 20-Ago-2014 13:18:31 +0200,2,7,129,151,280,-22,26,1,0
f1893e7dc451a65a7c3a15c4607b5e6ea3f016a3,true,Peter Ertl,Qui 17-Jul-2014 12:08:21 +0200,1,1,1,1,2,0,1,1,5647
f314fc4193628dc9e2bd9e77a0571e148c118115,false,Martin Tzvetanov Grigorov,Seg 21-Jul-2014 17:23:20 +0300,1,1,1,3,4,-2,2,1,0
f3f065c267338f17b64a6b1cd0d72fb349118d68,false,Martin Tzvetanov Grigorov,Seg 11-Ago-2014 10:14:57 +0200,1,2,24,79,103,-55,14,1,0
f6ee84e5f855252a38aab6a84ae40f70017c257d,false,Martin Tzvetanov Grigorov,Qui 02-Out-2014 14:46:34 +0200,2,6,147,54,201,93,15,1,5715
f89b15618243075f8a8e90cb826550af525dabb7,false,adelbene,Sex 19-Set-2014 16:53:48 +0200,1,1,1,42,43,-41,2,1,0
fa10aef39e23c0258738079e1d1ff90885175dc1,false,Martin Tzvetanov Grigorov,Qui 02-Out-2014 14:25:20 +0200,1,1,8,8,16,0,7,1,5713
fee33c62cbbd2a69e59a75eb3c8550f34b67450d,false,Martin Tzvetanov Grigorov,Qua 08-Out-2014 13:47:54 +0300,3,6,10,4,14,6,7,1,5722
ffb5a972015282e7b34b3f2f52c25c24ae619e03,false,Martin Tzvetanov Grigorov,Ter 23-Set-2014 14:46:28 +0200,2,4,185,9,194,176,7,1,5350
