# List of all commits from classes found during the repository mining phase (blamed or not)
322
revision,authorexpertise,daysbeforerelease,bug,author,date,packages,files,insertions,deletions,churns,deltalines,hunks,issues,listissues
59ddcddde2286c5825715c04f5a803466335925b,2338,230,false,Martin Tzvetanov Grigorov,Seg 02-Set-2013 12:37:56 +0300,1,1,61,20,81,41,12,1,5330
5aba89bc8c2c8eb8ecef93ea641061e484d38a41,2224,303,false,Martin Tzvetanov Grigorov,Sex 21-Jun-2013 14:54:22 +0200,5,8,27,27,54,0,21,1,0
5ac5a36a90710a4f9a7ed62273d55dc158d5f1ce,2260,297,false,Martin Tzvetanov Grigorov,Qui 27-Jun-2013 17:56:09 +0300,11,15,144,408,552,-264,27,1,5257
5b730c0b41d6261be5bdd7810cdc59ebebf1d1ef,2705,38,true,Martin Tzvetanov Grigorov,Qui 13-Mar-2014 12:09:17 +0200,1,2,65,3,68,62,5,1,5522
5bdc0f44bac4dcba1e9cdcf35de2ac319b342bc4,3,353,false,Cedric Gatay,Qui 02-Mai-2013 20:33:38 +0200,1,4,42,14,56,28,9,1,4852
5cdd8624c28814dfb7920bffcadda28eeccb0006,2416,159,false,Martin Tzvetanov Grigorov,Ter 12-Nov-2013 11:51:24 +0200,3,5,44,106,150,-62,13,1,5410
61122bab26db4ae3ad651f8d9794f4e0e865e6e2,318,212,true,svenmeier,Sex 20-Set-2013 21:10:46 +0200,1,2,81,53,134,28,30,1,5359
612f6fb41322fa97547d02cfb4fdd4f20ba6892c,2589,65,false,Martin Tzvetanov Grigorov,Sex 14-Fev-2014 15:14:13 +0200,1,2,6,8,14,-2,5,1,3335
61b01295d0d52929178d058d48456cae4acbc3e7,2868,55,false,Igor Vaynberg,Seg 24-Fev-2014 11:09:12 -0800,3,3,56,11,67,45,16,1,3335
629d591630a0e70e9e7d17a3ad87c223232f7762,2536,94,false,Martin Tzvetanov Grigorov,Qui 16-Jan-2014 15:05:31 +0200,8,8,73,85,158,-12,21,1,4744
62a1a94f854eb2e2ecba06092b77ee2668529ff3,2856,145,false,Igor Vaynberg,Ter 26-Nov-2013 08:03:31 -0800,1,1,3,1,4,2,2,1,5411
63d529ae752c0f9c1ad8006bf6740cd5c8229bfc,2664,45,false,Martin Tzvetanov Grigorov,Qui 06-Mar-2014 10:03:41 +0200,1,1,1,2,3,-1,1,1,0
6568ce556ae73ccd739c295b113025e0a794fef9,2360,209,false,Martin Tzvetanov Grigorov,Seg 23-Set-2013 18:17:45 +0200,1,1,4,4,8,0,4,1,0
65bd82fe9754d30ed103eba52aa1dc1e07f71bc0,2684,41,true,Martin Tzvetanov Grigorov,Seg 10-Mar-2014 15:20:36 +0200,5,10,580,131,711,449,28,1,5527
6759a5b45a9798e7d43d6292ce9a3534f111c05b,2332,244,true,Martin Tzvetanov Grigorov,Seg 19-Ago-2013 22:17:05 +0300,1,2,58,157,215,-99,15,1,5322
686bc9a8abbdb15034cf8055ec7653e27929f4ce,2544,93,false,Martin Tzvetanov Grigorov,Sex 17-Jan-2014 15:52:53 +0200,2,2,26,3,29,23,2,1,5288
69042ca514124d60440980cf96d2d93fc6259be5,2131,328,true,Martin Tzvetanov Grigorov,Seg 27-Mai-2013 20:56:22 +0300,2,5,7,9,16,-2,8,1,5182
690cca0d50d611bbe1a08015e39fb8795cc6e7c9,282,311,false,svenmeier,Qui 13-Jun-2013 21:11:22 +0200,9,42,265,317,582,-52,56,1,4904
69530253d3d5170ae5adfb3b7050786ed3b3ff90,2494,122,false,Martin Tzvetanov Grigorov,Qui 19-Dez-2013 12:03:15 +0200,2,2,5,4,9,1,5,1,0
69532d82c18ed612feba5002c55906a0ad45f373,2356,209,false,Martin Tzvetanov Grigorov,Seg 23-Set-2013 13:45:58 +0200,1,1,1,2,3,-1,1,1,0
6971b62d1a788e251e3aaabcf461fdd3e4a0eb4a,2153,314,false,Martin Tzvetanov Grigorov,Seg 10-Jun-2013 14:36:58 +0300,2,3,68,12,80,56,9,1,5215
697b87eb75f663fdc9ebe06a389a026254d196d0,2539,93,false,Martin Tzvetanov Grigorov,Sex 17-Jan-2014 13:32:06 +0200,2,5,215,0,215,215,7,1,3491
6c58037e0ca57930d9646f254b0adc3701dceea1,2425,156,true,Martin Tzvetanov Grigorov,Sex 15-Nov-2013 11:11:11 +0200,2,8,270,1,271,269,8,2,5387:5415
6c79db3ec88201d485aa62457089a1f1dfe72db3,2272,291,true,Martin Tzvetanov Grigorov,Qua 03-Jul-2013 10:13:44 +0300,1,1,10,0,10,10,3,1,5263
6cefb9f89975ace7fc90ec663c4d92ac9af14dfd,2406,160,true,Martin Tzvetanov Grigorov,Seg 11-Nov-2013 12:20:13 +0200,4,5,14,18,32,-4,8,1,5400
6e794ad060af7512a6f0e9a0d445037047aad0e1,2106,341,true,Martin Tzvetanov Grigorov,Ter 14-Mai-2013 11:51:10 +0300,1,2,168,15,183,153,7,1,5071
6ea806a2f393b830015b09b633da28e034a4b3ad,2355,209,false,Martin Tzvetanov Grigorov,Seg 23-Set-2013 13:45:33 +0200,1,1,1,1,2,0,1,1,0
6f0aac5246c7ec6bf9a814e1d771d59ce5d5ddbe,298,261,true,svenmeier,Sex 02-Ago-2013 14:47:10 +0200,1,1,11,2,13,9,3,1,5300
6f8c88882401c60c0cdfce93ff27c568c3196040,2718,33,false,Martin Tzvetanov Grigorov,Ter 18-Mar-2014 17:57:35 +0200,1,1,1,1,2,0,1,1,0
6f9821b81e2afeedebbe66496b85009c0c62f74c,340,123,true,svenmeier,Qua 18-Dez-2013 13:02:45 +0100,2,8,236,283,519,-47,36,1,5426
7006771da8b535ffed35154e258fb6fe9dc20485,2651,53,false,Martin Tzvetanov Grigorov,Qua 26-Fev-2014 11:31:40 +0200,2,2,21,10,31,11,3,1,0
7054ccc08e29553da06b0d73dba5ff18e754a39b,2719,33,false,Martin Tzvetanov Grigorov,Ter 18-Mar-2014 17:58:20 +0200,6,7,10,9,19,1,8,1,5535
7193daa06a0d9125777bb8c1eab03bc10a6fc273,2245,299,false,Martin Tzvetanov Grigorov,Ter 25-Jun-2013 15:08:10 +0300,1,1,1,1,2,0,1,1,0
71c4b71bcb93991e8675e1016557d6d908b096ac,2851,159,false,Igor Vaynberg,Ter 12-Nov-2013 10:31:49 -0800,1,1,3,3,6,0,1,1,5411
723d7d3c9ebe8336897d75d3754685384f017b3a,2860,58,false,Igor Vaynberg,Qui 20-Fev-2014 23:09:43 -0800,4,5,85,25,110,60,13,1,3335
725f0471bbc322ca6703ee910867f5244226bb64,2298,263,false,Martin Tzvetanov Grigorov,Qua 31-Jul-2013 09:26:46 +0200,1,1,2,2,4,0,1,1,0
755539e84f927ed37f0cab3022e8f850e74ff23e,2415,159,false,Martin Tzvetanov Grigorov,Ter 12-Nov-2013 11:45:18 +0200,4,8,60,113,173,-53,18,1,5410
75dceed9a5e7e19d1f12ab37d7c63cd88d0f4ba9,348,91,true,svenmeier,Dom 19-Jan-2014 00:00:39 +0100,1,1,16,1,17,15,1,1,5476
77cee0a07e2b30c3aaa6229c51d2214ca087e412,2604,61,false,Martin Tzvetanov Grigorov,Ter 18-Fev-2014 11:02:31 +0200,1,1,3,7,10,-4,3,1,0
788e7ed126b391359ca416c3f04ae69ea1e8c3a6,2204,306,false,Martin Tzvetanov Grigorov,Ter 18-Jun-2013 16:40:01 +0200,1,1,1,1,2,0,1,1,0
79ba33817899b5921a1864da9fc39e5f5a97395b,2534,94,false,Martin Tzvetanov Grigorov,Qui 16-Jan-2014 12:51:18 +0200,13,24,559,87,646,472,31,1,0
7c95d9380705b3023fdc85ca877a1b609b29d19b,2352,215,false,Martin Tzvetanov Grigorov,Ter 17-Set-2013 11:22:00 +0300,2,2,24,7,31,17,8,1,5354
7e032d211feecf00b93f72fd0ee49c42abf08c61,2510,101,true,Martin Tzvetanov Grigorov,Qui 09-Jan-2014 15:02:22 +0200,270,1963,96969,52442,149411,44527,4846,1,4686
7e9abf192c69422ecef8f2be18ecc0db29587fa1,2376,205,false,Martin Tzvetanov Grigorov,Sex 27-Set-2013 09:05:17 +0200,3,3,3,3,6,0,3,1,0
7ea31ba59b6f027000a2bcd4b6e31eb5eaf35d21,2397,174,true,Martin Tzvetanov Grigorov,Seg 28-Out-2013 11:18:23 +0200,1,1,1,18,19,-17,2,1,5392
7eda0dd200216bc9e595d55ea6f6eb7cbb68a30a,2112,340,true,Martin Tzvetanov Grigorov,Qua 15-Mai-2013 11:29:06 +0300,1,1,1,1,2,0,1,1,5163
7f8c6727941d51aa8d3ff8a84d37ba5bf110df92,2603,61,false,Martin Tzvetanov Grigorov,Ter 18-Fev-2014 11:01:33 +0200,2,2,2,2,4,0,2,1,0
8088d460a2c1422e3342bdf317be90dbdc606a26,2650,54,false,Martin Tzvetanov Grigorov,Ter 25-Fev-2014 14:45:52 +0200,1,1,1,1,2,0,1,1,3335
80d8f91e7716d78d82effe6f751e5bc7ab15b9fa,1,327,false,bitstorm,Ter 28-Mai-2013 16:27:46 +0200,3,5,94,152,246,-58,39,1,0
813c022d75df4a6f551e76fb526376fc3809bc6f,2417,159,false,Martin Tzvetanov Grigorov,Ter 12-Nov-2013 12:08:45 +0200,7,9,254,363,617,-109,28,1,5410
817db866606b7512b0063b77985c91e003fc6034,2249,298,false,Martin Tzvetanov Grigorov,Qua 26-Jun-2013 11:40:56 +0300,1,1,4,0,4,4,1,1,0
81a7b75ec8ef9dc94aa4ef644dcbe094d846f2b2,2158,314,false,Martin Tzvetanov Grigorov,Seg 10-Jun-2013 16:52:11 +0300,1,2,34,6,40,28,2,1,5215
81f5647c1d60c0f9a643c341f99359c2cfbfb4ea,2108,341,false,Martin Tzvetanov Grigorov,Ter 14-Mai-2013 14:37:58 +0300,1,1,10,3,13,7,2,1,5188
823e571d5377afc56a7d9e6b9f0a6dd35f7aa22f,2321,256,false,Martin Tzvetanov Grigorov,Qua 07-Ago-2013 14:24:57 +0200,1,3,31,0,31,31,6,1,5307
