# Unchanged scenarios (UTest P-Value)
112
Name;P-Value (TTest);P-Value (UTest);AVG R1;AVG R2;N1;N2;Delta
Entry point for ServletHandlerTest.testFilterMappingsMix;0.9075124565484994;0.8798291600118298;7102909.3;7278873.8;10;10;175964.5
Entry point for DefaultServletTest.testWelcomeExactServlet;0.566463461565357;0.25683925795785656;3.16009238E7;3.3630971E7;10;10;2030047.1999999993
Entry point for AsyncServletTest.testStartTimeoutStartDispatch;0.546648407894048;0.9397429895770734;3.23545172E7;3.04286819E7;10;10;-1925835.3000000007
Entry point for DispatcherForwardTest.testQueryAggregatesWithFormByForwardWithoutQuery;0.052425812694654475;0.06964240479832817;2.89346829E7;3.62008953E7;10;10;7266212.3999999985
Entry point for DispatcherTest.testForwardWithParam;0.5535502402284892;0.5967012167293564;1.03104081E7;1.13142808E7;10;10;1003872.7000000011
Entry point for DefaultServletTest.testIfModifiedLarge;0.47518984929625785;0.6501474440948545;3.89013894E7;4.31974228E7;10;10;4296033.3999999985
Entry point for AsyncServletTest.testStartError;0.5359312240907808;1.0;9335597.1;8072998.2;10;10;-1262598.8999999994
Entry point for DefaultServletRangesTest.testUnsatisfiableRanges;0.5413227722190994;0.5967012167293564;1.34580264E7;1.11769066E7;10;10;-2281119.8000000007
Entry point for DispatcherForwardTest.testContentCanBeReadViaInputStreamAfterForwardWithQuery;0.9106568075622256;0.9397429895770734;2.4932702E7;2.54455086E7;10;10;512806.6000000015
Entry point for AsyncServletTest.testNormal;0.6713256871064887;0.8798291600118298;1.006862871E9;1.0076538337E9;10;10;790962.7000000477
0.0
0.05
