# Degradated scenarios (UTest P-Value)
135
Name;P-Value (TTest);P-Value (UTest);AVG R1;AVG R2;N1;N2;Delta
Entry point for AsyncContextTest.testDispatchAsyncContextEncodedPathAndQueryString;3.627869107558775E-6;2.8511808363163027E-4;1.80636903E7;3.69867612E7;10;10;1.8923070900000002E7
Entry point for DispatcherTest.testForwardNonUTF8;0.0019035215362728222;2.8511808363163027E-4;1.71660897E7;4.33921371E7;10;10;2.6226047400000002E7
Entry point for AsyncServletTest.testWrapStartDispatch;0.01882611043651865;0.010165201891956244;3.26445612E7;4.03148941E7;10;10;7670332.900000002
Entry point for SSLAsyncIOServletTest.testAsyncIOWritesWithAggregation;4.593382075860358E-18;6.3018482210353E-8;5.8199828305E8;1.4783977482E9;20;20;8.963994651500001E8
Entry point for AsyncContextTest.testDispatchWithContextAsyncContext;0.009354337581020897;0.012611144099313965;8674111.6;1.60822921E7;10;10;7408180.5
Entry point for DispatcherTest.testServletInclude;1.1041253353275472E-5;3.8105845205071986E-4;2.16581225E7;4.28816356E7;10;10;2.12235131E7
Entry point for DefaultServletTest.testCachedGzip;6.284667034010034E-5;1.5705228423079642E-4;4.2125263E7;8.16656773E7;10;10;3.95404143E7
Entry point for DispatcherForwardTest.testQueryAggregatesWithFormReplacedByForwardWithQuery;3.0004827484816584E-4;2.1218287122259927E-4;2.4476077E7;7.15690906E7;10;10;4.7093013599999994E7
Entry point for AsyncServletTest.testStart;0.00200918965927365;0.004071994217732744;2.179844214E8;2.286184627E8;10;10;1.0634041299999982E7
Entry point for DispatcherTest.testIncludeThenForward;3.483957212875902E-4;1.5705228423079642E-4;1.40617766E7;2.95714056E7;10;10;1.5509629000000002E7
Entry point for DispatcherTest.testServletForwardEncodedDotDot;4.968882589495834E-5;1.5705228423079642E-4;8205671.1;2.35943801E7;10;10;1.5388709000000002E7
Entry point for AsyncServletTest.testFwdStartDispatch;5.678844542034633E-8;1.5705228423079642E-4;3.0124537E7;4.6400375E7;10;10;1.6275838E7
Entry point for ErrorPageTest.testErrorException;1.331744151071239E-12;1.5705228423079642E-4;2.159848677E8;4.835656753E8;10;10;2.6758080760000002E8
Entry point for AsyncServletIOTest.testRead;0.002235454201896299;0.002496908915141538;3.045194033E8;3.08791467E8;10;10;4272063.699999988
Entry point for ServletContextHandlerTest.testLegacyDecorator;8.36455850003984E-5;8.551019694724715E-4;1.9165586E7;1.290789448888889E8;7;9;1.099133588888889E8
Entry point for AsyncContextListenersTest.testListenerAddedFromListener;4.4547616690413065E-7;1.5705228423079642E-4;3.59829738E7;1.978882967E8;10;10;1.6190532289999998E8
